Method,Area
Ilastik,381
Ilastik,449
Ilastik,11
Ilastik,1
Ilastik,19
Ilastik,489
Ilastik,539
Ilastik,23
Ilastik,613
Ilastik,262
Ilastik,151
Ilastik,434
Ilastik,691
Ilastik,220
Ilastik,23
Ilastik,648
Ilastik,145
Ilastik,1774
Ilastik,45
Ilastik,710
Ilastik,1322
Ilastik,683
Ilastik,112
Ilastik,858
Ilastik,576
Ilastik,1387
Ilastik,778
Ilastik,3190
Ilastik,276
Ilastik,461
Ilastik,1
Ilastik,281
Ilastik,423
Ilastik,1281
Ilastik,1779
Ilastik,1903
Ilastik,724
Ilastik,1288
Ilastik,683
Ilastik,173
Ilastik,82
Ilastik,13
Ilastik,18
Ilastik,248
Ilastik,1795
Ilastik,891
Ilastik,40
Ilastik,205
Ilastik,18
Ilastik,1
Ilastik,1507
Ilastik,613
Ilastik,830
Ilastik,2133
Ilastik,612
Ilastik,585
Ilastik,1
Ilastik,955
Ilastik,1
Ilastik,1
Ilastik,81
Ilastik,771
Ilastik,5
Ilastik,14
Connected,29
Connected,130
Connected,223
Connected,281
Connected,248
Connected,174
Connected,543
Connected,428
Connected,359
Connected,94
Connected,335
Connected,201
Connected,446
Connected,728
Connected,489
Connected,439
Connected,158
Connected,281
Connected,93
Connected,520
Connected,353
Connected,254
Connected,164
Connected,147
Connected,310
Connected,113
Connected,51
Connected,161
Connected,848
Connected,89
Connected,790
Connected,459
Connected,1852
Connected,97
Connected,506
Connected,873
Connected,309
Connected,103
Connected,279
Connected,389
Connected,330
Connected,242
Connected,117
Connected,255
Connected,522
Connected,1066
Connected,32
Connected,478
Connected,170
Connected,61
Connected,377
Connected,811
Connected,298
Connected,187
Connected,70
Connected,382
Connected,16
Connected,473
Connected,122
Connected,44
Connected,621
Connected,720
Connected,470
Connected,301
Connected,240
Connected,192
Connected,155
Connected,472
Connected,124
Connected,205
Connected,89
Connected,325
Connected,556
Connected,142
Connected,685
Connected,714
Connected,768
Connected,652
Connected,391
Connected,174
Connected,742
Connected,460
Connected,408
Connected,237
Connected,427
Connected,574
Connected,362
Connected,354
Connected,65
Connected,839
Connected,988
Connected,779
Connected,762
Connected,575
Connected,177
Connected,74
Connected,929
Connected,249
Connected,387
Connected,130
Connected,97
Connected,585
Connected,400
Connected,435
Connected,654
Connected,288
Connected,102
Connected,524
Connected,495
Connected,71
Connected,548
Connected,23
Connected,537
Connected,132
Connected,480
Connected,256
Connected,48
Connected,32
Connected,1193
Connected,271
Connected,207
Connected,593
Connected,226
Connected,153
Connected,753
Connected,666
Connected,221
Connected,270
Connected,226
Connected,1047
Connected,144
Connected,990
Connected,238
Connected,518
Connected,120
Connected,446
Connected,957
Connected,435
Connected,778
Connected,761
Connected,590
Connected,511
Connected,34
Connected,648
Connected,896
Connected,782
Connected,63
Connected,325
Connected,291
Connected,678
Connected,539
Connected,337
Connected,969
Connected,62
Connected,206
Connected,2342
Connected,79
Connected,434
Connected,1014
Connected,960
Connected,447
Connected,1811
Connected,1068
Connected,163
Connected,1127
Connected,855
Connected,1702
Connected,1059
Connected,4079
Connected,523
Connected,392
Connected,647
Connected,560
Connected,378
Connected,1657
Connected,2216
Connected,2335
Connected,1266
Connected,1774
Connected,926
Connected,394
Connected,25
Connected,66
Connected,2648
Connected,49
Connected,1321
Connected,420
Connected,114
Connected,372
Connected,21
Connected,2101
Connected,859
Connected,1114
Connected,3518
Connected,814
Connected,976
Connected,1459
Connected,130
Connected,1195
Connected,175
Connected,12
Connected,48
Connected,12
Connected,74
